Rank,Team,Total_Points_Dec,Total_Points_Jan,Total_Points_PerChg,Rank_Chg,PtsChgClass_RnkChgClass,Rank_Group,Confederation
1,Belgium,1727,1325,23.28,4,Increase | Increase,Rank 1 - 30,UEFA
38,Scotland,1446,798,44.81,-6,Increase | Decrease,Rank 31 - 60,UEFA
39,Turkey,1443,735,49.06,2,Increase | Increase,Rank 31 - 60,UEFA
40,Morocco,1440,748,48.06,-1,Increase | Decrease,Rank 31 - 60,CAF
41,Australia,1436,763,46.87,-5,Increase | Decrease,Rank 31 - 60,AFC
42,Czech Republic,1435,677,52.82,6,Increase | Increase,Rank 31 - 60,UEFA
43,Greece,1428,680,52.38,4,Increase | Increase,Rank 31 - 60,UEFA
44,Nigeria,1427,651,54.38,7,Increase | Increase,Rank 31 - 60,CAF
44,Montenegro,1427,681,52.28,2,Increase | Increase,Rank 31 - 60,UEFA
46,Bulgaria,1425,719,49.54,-4,Increase | Decrease,Rank 31 - 60,UEFA
46,Norway,1425,572,59.86,12,Increase | Increase,Rank 31 - 60,UEFA
48,Russia,1424,534,62.5,14,Increase | Increase,Rank 31 - 60,UEFA
49,Congo DR,1420,715,49.65,-6,Increase | Decrease,Rank 31 - 60,CAF
50,Japan,1414,598,57.71,6,Increase | Increase,Rank 31 - 60,AFC
51,Hungary,1412,630,55.38,3,Increase | Increase,Rank 31 - 60,UEFA
51,Ghana,1412,659,53.33,-1,Increase | Decrease,Rank 31 - 60,CAF
53,Korea Republic,1405,569,59.5,6,Increase | Increase,Rank 31 - 60,AFC
54,Jamaica,1404,625,55.48,1,Increase | Increase,Rank 31 - 60,CONCACAF
55,Cameroon,1394,707,49.28,-10,Increase | Decrease,Rank 31 - 60,CAF
56,Egypt,1393,814,41.56,-26,Increase | Decrease,Rank 31 - 60,CAF
57,Ecuador,1382,508,63.24,11,Increase | Increase,Rank 31 - 60,CONMEBOL
58,Finland,1378,508,63.13,10,Increase | Increase,Rank 31 - 60,UEFA
59,Bolivia,1374,674,50.95,-10,Increase | Decrease,Rank 31 - 60,CONMEBOL
60,Albania,1372,553,59.69,0,Increase | No Change,Rank 31 - 60,UEFA
61,Burkina Faso,1371,709,48.29,-17,Increase | Decrease,Rank 61 - 90,CAF
62,Slovenia,1369,529,61.36,2,Increase | Increase,Rank 61 - 90,UEFA
62,Honduras,1369,509,62.82,5,Increase | Increase,Rank 61 - 90,CONCACAF
64,Mali,1363,477,65.0,7,Increase | Increase,Rank 61 - 90,CAF
65,Ivory Coast,1356,544,59.88,-4,Increase | Decrease,Rank 61 - 90,CAF
66,Guinea,1354,510,62.33,0,Increase | No Change,Rank 61 - 90,CAF
67,Algeria,1347,585,56.57,-10,Increase | Decrease,Rank 61 - 90,CAF
68,FYR Macedonia,1343,446,66.79,5,Increase | Increase,Rank 61 - 90,UEFA
69,Saudi Arabia,1335,522,60.9,-4,Increase | Decrease,Rank 61 - 90,AFC
70,El Salvador,1327,383,71.14,20,Increase | Increase,Rank 61 - 90,CONCACAF
71,Panama,1326,636,52.04,-18,Increase | Decrease,Rank 61 - 90,CONCACAF
72,South Africa,1325,436,67.09,6,Increase | Increase,Rank 61 - 90,CAF
72,Cape Verde Islands,1325,530,60.0,-9,Increase | Decrease,Rank 61 - 90,CAF
74,Syria,1322,442,66.57,2,Increase | Increase,Rank 61 - 90,AFC
75,Uganda,1320,446,66.21,-2,Increase | Decrease,Rank 61 - 90,CAF
76,Belarus,1317,372,71.75,17,Increase | Increase,Rank 61 - 90,UEFA
76,China PR,1317,504,61.73,-6,Increase | Decrease,Rank 61 - 90,AFC
78,Canada,1314,371,71.77,17,Increase | Increase,Rank 61 - 90,CONCACAF
79,United Arab Emirates,1309,436,66.69,-1,Increase | Decrease,Rank 61 - 90,AFC
80,Curacao,1306,407,68.84,4,Increase | Increase,Rank 61 - 90,CONCACAF
81,Lebanon,1296,407,68.6,3,Increase | Increase,Rank 61 - 90,AFC
82,Oman,1295,335,74.13,19,Increase | Increase,Rank 61 - 90,AFC
83,Zambia,1292,466,63.93,-11,Increase | Decrease,Rank 61 - 90,CAF
84,Congo,1280,369,71.17,12,Increase | Increase,Rank 61 - 90,CAF
85,Gabon,1277,372,70.87,8,Increase | Increase,Rank 61 - 90,CAF
86,Luxembourg,1276,407,68.1,-2,Increase | Decrease,Rank 61 - 90,UEFA
86,Cyprus,1276,373,70.77,6,Increase | Increase,Rank 61 - 90,UEFA
88,Iraq,1271,410,67.74,-6,Increase | Decrease,Rank 61 - 90,AFC
89,Georgia,1269,322,74.63,15,Increase | Increase,Rank 61 - 90,UEFA
90,Israel,1265,355,71.94,9,Increase | Increase,Rank 61 - 90,UEFA
91,Kyrgyz Republic,1264,282,77.69,25,Increase | Increase,Rank 91 - 120,AFC
92,Trinidad and Tobago,1260,430,65.87,-12,Increase | Decrease,Rank 91 - 120,CONCACAF
93,Qatar,1258,327,74.01,10,Increase | Increase,Rank 91 - 120,AFC
94,Benin,1257,427,66.03,-13,Increase | Decrease,Rank 91 - 120,CAF
95,Uzbekistan,1251,441,64.75,-18,Increase | Decrease,Rank 91 - 120,AFC
96,Estonia,1242,399,67.87,-8,Increase | Decrease,Rank 91 - 120,UEFA
97,India,1240,333,73.15,5,Increase | Increase,Rank 91 - 120,AFC
98,Faroe Islands,1238,364,70.6,-1,Increase | Decrease,Rank 91 - 120,UEFA
99,Palestine,1236,443,64.16,-24,Increase | Decrease,Rank 91 - 120,AFC
100,Vietnam,1229,298,75.75,12,Increase | Increase,Rank 91 - 120,AFC
101,Mauritania,1222,340,72.18,-1,Increase | Decrease,Rank 91 - 120,CAF
101,Armenia,1222,383,68.66,-11,Increase | Decrease,Rank 91 - 120,UEFA
103,Haiti,1219,403,66.94,-16,Increase | Decrease,Rank 91 - 120,CONCACAF
104,Libya,1217,389,68.04,-15,Increase | Decrease,Rank 91 - 120,CAF
105,Kenya,1210,317,73.8,0,Increase | No Change,Rank 91 - 120,CAF
106,Madagascar,1209,309,74.44,3,Increase | Increase,Rank 91 - 120,CAF
107,Azerbaijan,1206,281,76.7,11,Increase | Increase,Rank 91 - 120,UEFA
108,Niger,1205,311,74.19,-2,Increase | Decrease,Rank 91 - 120,CAF
109,Korea DPR,1196,269,77.51,10,Increase | Increase,Rank 91 - 120,AFC
109,Jordan,1196,294,75.42,4,Increase | Increase,Rank 91 - 120,AFC
111,Namibia,1191,300,74.81,0,Increase | No Change,Rank 91 - 120,CAF
112,Central African Republic,1180,266,77.46,9,Increase | Increase,Rank 91 - 120,CAF
113,Bahrain,1178,264,77.59,9,Increase | Increase,Rank 91 - 120,AFC
114,Zimbabwe,1175,311,73.53,-8,Increase | Decrease,Rank 91 - 120,CAF
115,Sierra Leone,1172,360,69.28,-17,Increase | Decrease,Rank 91 - 120,CAF
116,Philippines,1171,263,77.54,7,Increase | Increase,Rank 91 - 120,AFC
117,Mozambique,1167,310,73.44,-9,Increase | Decrease,Rank 91 - 120,CAF
118,Thailand,1160,236,79.66,11,Increase | Increase,Rank 91 - 120,AFC
119,Kazakhstan,1159,220,81.02,16,Increase | Increase,Rank 91 - 120,UEFA
120,Guinea-Bissau,1158,409,64.68,-37,Increase | Decrease,Rank 91 - 120,CAF
120,Tajikistan,1158,255,77.98,6,Increase | Increase,Rank 91 - 120,AFC
122,New Zealand,1157,267,76.92,-2,Increase | Decrease,Rank 121 - 150,OFC
123,Togo,1136,247,78.26,4,Increase | Increase,Rank 121 - 150,CAF
124,Chinese Taipei,1134,223,80.34,10,Increase | Increase,Rank 121 - 150,AFC
125,Angola,1131,200,82.32,17,Increase | Increase,Rank 121 - 150,CAF
126,Antigua and Barbuda,1126,209,81.44,13,Increase | Increase,Rank 121 - 150,CONCACAF
127,Sudan,1120,260,76.79,-3,Increase | Decrease,Rank 121 - 150,CAF
127,Turkmenistan,1120,292,73.93,-13,Increase | Decrease,Rank 121 - 150,AFC
129,Nicaragua,1119,287,74.35,-14,Increase | Decrease,Rank 121 - 150,CONCACAF
130,Malawi,1115,260,76.68,-6,Increase | Decrease,Rank 121 - 150,CAF
131,Kosovo,1113,97,91.28,47,Increase | Increase,Rank 121 - 150,UEFA
132,Latvia,1112,233,79.05,-1,Increase | Decrease,Rank 121 - 150,UEFA
133,Andorra,1111,215,80.65,3,Increase | Increase,Rank 121 - 150,UEFA
133,Lithuania,1111,179,83.89,14,Increase | Increase,Rank 121 - 150,UEFA
135,Yemen,1106,212,80.83,3,Increase | Increase,Rank 121 - 150,AFC
136,St. Kitts and Nevis,1105,303,72.58,-26,Increase | Decrease,Rank 121 - 150,CONCACAF
137,Rwanda,1094,282,74.22,-21,Increase | Decrease,Rank 121 - 150,CAF
138,Tanzania,1087,182,83.26,8,Increase | Increase,Rank 121 - 150,CAF
139,Myanmar,1085,203,81.29,1,Increase | Increase,Rank 121 - 150,AFC
139,Burundi,1085,197,81.84,4,Increase | Increase,Rank 121 - 150,CAF
141,Hong Kong,1078,189,82.47,3,Increase | Increase,Rank 121 - 150,AFC
141,Swaziland,1078,228,78.85,-9,Increase | Decrease,Rank 121 - 150,CAF
143,Comoros,1076,235,78.16,-13,Increase | Decrease,Rank 121 - 150,CAF
144,Solomon Islands,1073,152,85.83,7,Increase | Increase,Rank 121 - 150,OFC
145,Botswana,1071,172,83.94,4,Increase | Increase,Rank 121 - 150,CAF
146,Lesotho,1069,188,82.41,-1,Increase | Decrease,Rank 121 - 150,CAF
147,Afghanistan,1068,176,83.52,1,Increase | Increase,Rank 121 - 150,AFC
148,Equatorial Guinea,1063,202,81.0,-7,Increase | Decrease,Rank 121 - 150,CAF
149,Guatemala,1061,242,77.19,-21,Increase | Decrease,Rank 121 - 150,CONCACAF
150,Liberia,1051,224,78.69,-17,Increase | Decrease,Rank 121 - 150,CAF
151,Ethiopia,1049,213,79.69,-14,Increase | Decrease,Rank 151 - 180,CAF
152,Maldives,1046,154,85.28,-2,Increase | Decrease,Rank 151 - 180,AFC
153,Suriname,1037,121,88.33,7,Increase | Increase,Rank 151 - 180,CONCACAF
154,Dominican Republic,1036,121,88.32,6,Increase | Increase,Rank 151 - 180,CONCACAF
154,New Caledonia,1036,146,85.91,0,Increase | No Change,Rank 151 - 180,OFC
156,Mauritius,1022,134,86.89,1,Increase | Increase,Rank 151 - 180,CAF
157,Tahiti,1020,149,85.39,-5,Increase | Decrease,Rank 151 - 180,OFC
158,Kuwait,1018,100,90.18,16,Increase | Increase,Rank 151 - 180,AFC
159,Indonesia,1003,121,87.94,1,Increase | Increase,Rank 151 - 180,AFC
160,Belize,1002,105,89.52,11,Increase | Increase,Rank 151 - 180,CONCACAF
161,Nepal,1001,115,88.51,4,Increase | Increase,Rank 151 - 180,AFC
162,Barbados,998,144,85.57,-7,Increase | Decrease,Rank 151 - 180,CONCACAF
163,Vanuatu,996,141,85.84,-7,Increase | Decrease,Rank 151 - 180,OFC
164,South Sudan,994,148,85.11,-11,Increase | Decrease,Rank 151 - 180,CAF
165,Singapore,991,101,89.81,8,Increase | Increase,Rank 151 - 180,AFC
166,Gambia,986,120,87.83,-3,Increase | Decrease,Rank 151 - 180,CAF
167,Malaysia,985,99,89.95,8,Increase | Increase,Rank 151 - 180,AFC
168,Papua New Guinea,984,126,87.2,-10,Increase | Decrease,Rank 151 - 180,OFC
169,Fiji,981,110,88.79,-1,Increase | Decrease,Rank 151 - 180,OFC
170,Moldova,979,112,88.56,-4,Increase | Decrease,Rank 151 - 180,UEFA
171,St. Lucia,976,99,89.86,4,Increase | Increase,Rank 151 - 180,CONCACAF
172,Cambodia,970,103,89.38,0,Increase | No Change,Rank 151 - 180,AFC
173,Grenada,968,125,87.09,-14,Increase | Decrease,Rank 151 - 180,CONCACAF
174,Cuba,963,88,90.86,7,Increase | Increase,Rank 151 - 180,CONCACAF
175,Chad,956,110,88.49,-7,Increase | Decrease,Rank 151 - 180,CAF
176,Bermuda,952,72,92.44,8,Increase | Increase,Rank 151 - 180,CONCACAF
177,Guyana,951,117,87.7,-13,Increase | Decrease,Rank 151 - 180,CONCACAF
178,Dominica,950,110,88.42,-10,Increase | Decrease,Rank 151 - 180,CONCACAF
179,Puerto Rico,948,112,88.19,-13,Increase | Decrease,Rank 151 - 180,CONCACAF
180,St Vincent and the Grenadines,946,99,89.53,-5,Increase | Decrease,Rank 151 - 180,CONCACAF
181,Liechtenstein,937,86,90.82,1,Increase | Increase,Rank 181 - 211,UEFA
182,Malta,926,66,92.87,3,Increase | Increase,Rank 181 - 211,UEFA
183,Macau,925,65,92.97,3,Increase | Increase,Rank 181 - 211,AFC
184,Laos,923,82,91.12,-1,Increase | Decrease,Rank 181 - 211,AFC
185,Sao Tome and Principe,920,94,89.78,-6,Increase | Decrease,Rank 181 - 211,CAF
186,Bhutan,917,57,93.78,2,Increase | Increase,Rank 181 - 211,AFC
187,Aruba,916,92,89.96,-7,Increase | Decrease,Rank 181 - 211,CONCACAF
188,Mongolia,915,55,93.99,1,Increase | Increase,Rank 181 - 211,AFC
189,Seychelles,911,43,95.28,3,Increase | Increase,Rank 181 - 211,CAF
190,Cook Islands,908,38,95.81,4,Increase | Increase,Rank 181 - 211,OFC
190,American Samoa,908,38,95.81,4,Increase | Increase,Rank 181 - 211,OFC
192,Guam,907,43,95.26,0,Increase | No Change,Rank 181 - 211,AFC
192,Bangladesh,907,30,96.69,5,Increase | Increase,Rank 181 - 211,AFC
194,Gibraltar,905,0,100.0,12,Increase | Increase,Rank 181 - 211,UEFA
195,Brunei Darussalam,903,45,95.02,-5,Increase | Decrease,Rank 181 - 211,AFC
196,Timor-Leste,900,44,95.11,-5,Increase | Decrease,Rank 181 - 211,AFC
197,Djibouti,896,64,92.86,-10,Increase | Decrease,Rank 181 - 211,CAF
197,Samoa,896,38,95.76,-3,Increase | Decrease,Rank 181 - 211,OFC
199,Pakistan,888,15,98.31,2,Increase | Increase,Rank 181 - 211,AFC
200,Montserrat,887,20,97.75,-1,Increase | Decrease,Rank 181 - 211,CONCACAF
201,Sri Lanka,886,16,98.19,-1,Increase | Decrease,Rank 181 - 211,AFC
202,US Virgin Islands,881,26,97.05,-4,Increase | Decrease,Rank 181 - 211,CONCACAF
203,Cayman Islands,874,13,98.51,-1,Increase | Decrease,Rank 181 - 211,CONCACAF
204,Tonga,868,0,100.0,2,Increase | Increase,Rank 181 - 211,OFC
204,Eritrea,868,0,100.0,2,Increase | Increase,Rank 181 - 211,CAF
204,Somalia,868,0,100.0,2,Increase | Increase,Rank 181 - 211,CAF
207,British Virgin Islands,867,6,99.31,-2,Increase | Decrease,Rank 181 - 211,CONCACAF
208,Turks and Caicos Islands,864,13,98.5,-6,Increase | Decrease,Rank 181 - 211,CONCACAF
208,Anguilla,864,0,100.0,-2,Increase | Decrease,Rank 181 - 211,CONCACAF
210,Bahamas,858,0,100.0,-4,Increase | Decrease,Rank 181 - 211,CONCACAF
211,San Marino,854,11,98.71,-7,Increase | Decrease,Rank 181 - 211,UEFA
